SMILES,luciferase_artifact,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
CC1C2CC(C1(C)C)CC2C3CCCC(C3)O,False,4.3988649544426,4.3988649544426,,
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,True,4.448864857638396,4.498865393540615,4.3988649544426,
C1CC2=CC=CC=C2NC3=CC=CC=C31,True,5.27838599026183,4.553386493915286,4.146743606432599,4.396743007005474
CCCO,False,,,4.898864942667959,
C1=CC=C(C=C1)C(=O)NO,False,4.4701989082177205,4.4701989082177205,4.220198673943827,
CCCC(=O)C1=CC=CC=C1,False,,,4.2180153353291665,
C1=CC=C(C=C1)N=[N+](C2=CC=CC=C2)[O-],True,5.248513038832912,4.3485107066057225,4.1485104968726825,
CC1=CC(=C(C=C1)N)N,True,4.873156790190941,4.573157793834849,5.173159197356149,4.498157688706856
CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,False,4.467775120664798,5.249221701346889,,
CN1C2=NC(=NC=C2CN(C1=O)C3=CC=CC=C3Br)NC4=CC5=C(C=C4)OC(CO5)CO,True,4.548864726812244,4.948862919408721,4.248864914695038,
CC1=CC(=C(C=C1C(C)(C)C)C(C)(C)C)O,False,4.448864857638396,4.598864942530007,4.148864616843579,4.498865393540615
CC1=NC=C(C(=N1)N)CN(C=O)/C(=C\2/CCOC(=O)S2)/C,False,,,4.810029897405945,4.810029897405945
C1CCN(CC1)C[C@@H](CO/N=C(/C2=C[N+](=CC=C2)[O-])\Cl)O,False,,,4.810029897405945,
CC1=C(C=C(C=C1)C(C)C)O,False,4.648864911118024,4.898864942667959,,4.3988649544426
CCCCCC1=CC(=CC(=C1)O)O,True,4.497803845068137,4.722804246728597,4.497804358570338,4.922802933994593
C1=CC=C(C=C1)NC(=O)CS,False,,4.9100313379205005,,4.810029897405945
C1=CC=C(C=C1)COC(=O)Cl,False,4.194630333540573,,,
C1=CC=C(C=C1)CNC(=O)CCCl,False,4.478585991510725,,,
C1CCC(=O)OCC1,False,4.394981704415236,,4.194981959547696,
CC(CCC=C(C)C)CC(=O)O,False,,4.198864633756791,,
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,False,4.3988649544426,4.498865393540615,4.087451415137264,4.498865393540615
CCOC(=S)SSC(=S)OCC,False,,4.648864911118024,4.198864633756791,
CC(C)CCCC(C)NCCC(C)C,False,,,5.460033632003287,
CC(C)(C1=CC=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC=C(C=C3)F)O,False,4.448864857638396,4.548864726812244,,4.3988649544426
C1CCCCCCCC(=O)CCCCCC1,False,,,,4.648864911118024
CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,False,4.398157210217902,5.1981574147030525,4.6981564646377985,
COC1=CC(=C(C=C1N)OC)S(=O)(=O)NC2=CC=CC=C2,False,4.3988649544426,4.448864857638396,4.148864616843579,5.4488672992713925
CCCCN(CCC(=O)OCC)C(=O)C,False,4.306118789647335,,,
CC(C)CC(=O)O,False,,,4.258519061275072,
CS(=O)(=O)C1=C(C=C(C=C1)[C@@H](C[C@H]2CCC(=O)C2)C(=O)NC3=NC=CN=C3)Cl,False,,,,4.448864857638396
C1CC(=O)CC(=O)C1,False,4.199928658690947,4.0999285107073415,,
CC(=CC(=O)C=C(C)C)C,False,4.451706419794678,,,
CC(C)CCCCCOC(=O)CCS,False,4.3988649544426,,,
C1=CC=NC(=C1)N,False,,,5.319827717688698,
C1CSCCS1,False,,,4.452419724893421,
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,False,4.450994284340003,,4.200994607009435,
C1CN2C(=O)[C@@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,True,,5.26003230324049,,
C(CCCC(=O)O)CCC(=O)O,False,4.344631027547938,,4.418911482264678,
C(CCCCCC(=O)O)CCCCCC(=O)O,False,,4.277252609992049,4.402252778791559,
C1=CN=C(C=N1)C(=O)N,False,,,4.504563902680813,
C1CNCCC1N2C3=C(C=C(C=C3)Cl)NC2=O,False,4.460029874171644,,4.810029897405945,
CCOC(=O)N1CCC(CC1)NC2=C(C=C(C=C2)Cl)N,False,,5.060031709448664,4.810029897405945,
CCOC(=O)N1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O,False,4.710029980825098,5.034311578542892,,
CC(C)CCCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCCC(C)C)C(=O)OCCCCCCC(C)C,False,,4.148864616843579,,
C1=CC(=C(C=C1SC#N)[N+](=O)[O-])N,False,5.796042908318756,4.396038709564252,4.446038128163577,4.146038493387563
CC(C)CCCCCCC1=CC=C(C=C1)OCCOCCO,False,4.197013625070935,,,
CNC.Cl,False,,,4.105640177703833,
[C-]#N.[C-]#N.[K+].[Ag+],True,4.548511380804243,5.148509274160633,4.748510219277646,4.798510017604997
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,False,4.4293718440243035,5.548858579207237,,5.797893288609764
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,False,,,4.760030197409634,
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.O.O.O.[Cl-],True,5.716156242204156,5.26616099930285,5.016157296036851,4.866157830067039
CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C.Cl,False,,4.507938395487401,4.533657407616091,
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,False,,5.010029874726081,,5.760025198883063
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,False,,4.760030197409634,,
CN(CCCC(C1=CN=CC=C1)O)N=O,False,,,,4.648864911118024
CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,False,,4.460029874171644,,
C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,False,,4.810029897405945,5.910024277312271,
CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,False,,5.4488672992713925,4.648864911118024,
CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,False,,4.748865707419434,4.3988649544426,6.148864004988426
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],False,4.198864633756791,4.448864857638396,4.444647763724445,
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC=CC=C4,False,,,5.010029874726081,5.110031956768376
CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,False,4.396572066510313,5.0965714755670675,4.394279178578024,
