Smiles,PPB
CN(C)C1C2C(O)C3C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)C1=O,76.5000000
CCCCCC(O)\C=C\C1C(O)CC(=O)C1C\C=C/CCCC(O)=O,73.0000000
CC1=NC=C(N1CCO)[N+]([O-])=O,20.0000000
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1,95.0000000
CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O,12.0000000
CCNC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCC1=CC=CC=C1,88.0000000
HC12CCC3=CC(=O)C=CC3(C)C1(H)CCC1(C)OC(=O)CCC21H,85.0000000
CC=C(C(=CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,65.0000000
OC(CC1=CC=CN=C1)(P(O)(O)=O)P(O)(O)=O,24.0000000
HC12OCC(O[N+]([O-])=O)C1(H)OCC2O[N+]([O-])=O,5.0000000
NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,4.0000000
CCCCC1=NC=C(C=C(CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,98.0000000
CC(CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,87.0000000
COC1CC(CCC1O)\C=C(/C)C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(C(CC2C)OC)C(CC(C)C\C(C)=C\C(CC=C)C(=O)CC(O)C1C)OC,87.0000000
CC(C)(S)C(N)C(O)=O,80.0000000
C1CN2CC(N=C2S1)C1=CC=CC=C1,22.5000000
HC12CC3=C4C(OC5C(O)CCC1(O)C45CCN2CC1CCC1)=C(O)C=C3,0.5000000
HC12CCC(OC(C)=O)(C#C)C1(C)CCC1(H)C3(H)CCC(OC(C)=O)C=C3CCC21H,67.5000000
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,99.0000000
CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1,99.5000000
HC12CC(C)C(O)(C(=O)CCl)C1(C)CC(O)C1(Cl)C2CCC2=CC(=O)C=CC12C,98.5000000
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)=O,95.0000000
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,10.0000000
[Gd+3].CNCC(O)C(O)C(O)C(O)CO.CNCC(O)C(O)C(O)C(O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)C(COCC1=CC=CC=C1)C([O-])=O)CC([O-])=O)CC([O-])=O,5.0000000
COC1=CC(C(O)C(C)N)=C(OC)C=C1,15.0000000
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,4.0000000
HC12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,50.0000000
CC(O)C1=C2NC(\C=C3/N=C(/C=C4\N=C(\C=C5NC(=C/2)\C(C)=C/5C(C)OC(C)C2=C(C)/C5=C/C6=N/C(=C\C7=N\C(=C/C8=C(C(C)O)C(C)=C(N8)\C=C\2N5)\C(C)=C7CCC(O)=O)/C(CCC(O)=O)=C6C)C(C)=C\4CCC(O)=O)C(CCC(O)=O)=C/3C)=C1C,90.0000000
[O-][N+](=O)C1=CC=C(O1)\C=N/N1CC(=O)NC1=O,40.0000000
COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(CC(O)(CC3OC3CC(N)C(O)C(C)O3)C(C)=O)C(O)=C1C2=O,97.0000000
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1CC2=C(CC1C(O)=O)C=C(OC)C(OC)=C2,50.0000000
HC12CC(OC3OC(C)C(O)C(N)C3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(C)C(O)C(C)C(C)OC(=O)CC(O)CC(O)CCC(O)C(O)CC(O)CC(O)(CC(O)C1C(O)=O)O2,90.0000000
CC(OC1OCCN(CC2=NC(=O)NN2)C1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,95.0000000
HC12CCC(=O)C1(C)CCC1(H)C3=C(CCC21H)C=C(O)C=C3,95.0000000
HC1(F)C(O)C(CO)OC1N1C=NC2=C1N=C(Cl)N=C2N,47.0000000
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,95.0000000
CC(N)C(O)C1=CC(O)=CC=C1,45.0000000
CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)C1=CC1=CC=C(C=C1)S(C)=O,93.0000000
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].COC1OC(COS([O-])(=O)=O)C(OC2OC(C(OC3OC(COS([O-])(=O)=O)C(OC4OC(C(OC5OC(COS([O-])(=O)=O)C(O)C(O)C5NS([O-])(=O)=O)C(O)C4O)C([O-])=O)C(OS([O-])(=O)=O)C3NS([O-])(=O)=O)C(O)C2OS([O-])(=O)=O)C([O-])=O)C(O)C1NS([O-])(=O)=O,94.0000000
